,Timestamp,Ground_truth,Predicted_value
0,0.416,Stand,Stand
1,0.438,Stand,Stand
2,0.461,Stand,Stand
3,0.483,Stand,Stand
4,0.505,Stand,Stand
5,0.526,Stand,Stand
6,0.548,Stand,Stand
7,0.571,Stand,Stand
8,0.592,Stand,Stand
9,0.615,Stand,Stand
10,0.636,Stand,Stand
11,0.659,Stand,Stand
12,0.681,Stand,Stand
13,0.703,Stand,Stand
14,0.725,Stand,Stand
15,0.747,Stand,Stand
16,0.769,Stand,Stand
17,0.791,Stand,Stand
18,0.813,Stand,Stand
19,0.835,Stand,Stand
20,0.857,Stand,Stand
21,0.879,Stand,Stand
22,0.901,Stand,Stand
23,0.923,Stand,Stand
24,0.948,Stand,Stand
25,0.967,Stand,Stand
26,0.989,Stand,Stand
27,1.012,Stand,Stand
28,1.033,Stand,Stand
29,1.057,Stand,Stand
30,1.078,Stand,Stand
31,1.1,Stand,Stand
32,1.122,Stand,Stand
33,1.144,Stand,Stand
34,1.166,Stand,Stand
35,1.189,Stand,Stand
36,1.21,Stand,Stand
37,1.232,Stand,Stand
38,1.255,Stand,Stand
39,1.277,Stand,Stand
40,1.297,Stand,Stand
41,1.32,Stand,Stand
42,1.342,Stand,Stand
43,1.364,Stand,Stand
44,1.386,Stand,Stand
45,1.409,Stand,Stand
46,1.43,Stand,Stand
47,1.454,Stand,Stand
48,1.474,Stand,Stand
49,1.496,Stand,Stand
50,1.52,Stand,Stand
51,1.541,Stand,Stand
52,1.563,Stand,Stand
53,1.585,Stand,Stand
54,1.608,Stand,Stand
55,1.629,Stand,Stand
56,1.651,Stand,Stand
57,1.673,Stand,Stand
58,1.695,Stand,Stand
59,1.717,Stand,Stand
60,1.74,Stand,Stand
61,1.762,Stand,Stand
62,1.785,Stand,Stand
63,1.806,Stand,Stand
64,1.829,Stand,Stand
65,1.85,Stand,Stand
66,1.872,Stand,Stand
67,1.894,Stand,Stand
68,1.915,Stand,Stand
69,1.937,Stand,Stand
70,1.959,Stand,Stand
71,1.981,Stand,Stand
72,2.004,Stand,Stand
73,2.025,Stand,Stand
74,2.047,Stand,Stand
75,2.069,Stand,Stand
76,2.092,Stand,Stand
77,2.114,Stand,Stand
78,2.136,Stand,Stand
79,2.157,Stand,Stand
80,2.18,Stand,Stand
81,2.204,Stand,Stand
82,2.224,Stand,Stand
83,2.246,Stand,Stand
84,2.269,Stand,Stand
85,2.29,Stand,Stand
86,2.312,Stand,Stand
87,2.334,Stand,Stand
88,2.356,Stand,Stand
89,2.378,Stand,Stand
90,2.4,Stand,Stand
91,2.422,Stand,Stand
92,2.444,Stand,Stand
93,2.466,Stand,Stand
94,2.489,Stand,Stand
95,2.51,Stand,Stand
96,2.532,Stand,Stand
97,2.554,Stand,Stand
98,2.576,Stand,Stand
99,2.598,Stand,Stand
100,2.62,Stand,Stand
101,2.643,Stand,Stand
102,2.666,Stand,Stand
103,2.687,Stand,Stand
104,2.709,Stand,Stand
105,2.731,Stand,Stand
106,2.756,Stand,Stand
107,2.776,Stand,Stand
108,2.797,Stand,Stand
109,2.819,Stand,Stand
110,2.841,Stand,Stand
111,2.864,Stand,Stand
112,2.885,Stand,Stand
113,2.908,Stand,Stand
114,2.929,Stand,Stand
115,2.951,Stand,Stand
116,2.973,Stand,Stand
117,2.995,Stand,Stand
118,3.017,Stand,Stand
119,3.041,Stand,Stand
120,3.063,Stand,Stand
