,Timestamp,Ground_truth,Predicted_value
0,0.448,Stand,Stand
1,0.469,Stand,Stand
2,0.492,Stand,Stand
3,0.513,Stand,Stand
4,0.536,Stand,Stand
5,0.558,Stand,Stand
6,0.58,Stand,Stand
7,0.602,Stand,Stand
8,0.625,Stand,Stand
9,0.647,Stand,Stand
10,0.668,Stand,Stand
11,0.69,Stand,Stand
12,0.713,Stand,Stand
13,0.734,Stand,Stand
14,0.757,Stand,Stand
15,0.779,Stand,Stand
16,0.801,Stand,Stand
17,0.823,Stand,Stand
18,0.846,Stand,Stand
19,0.868,Stand,Stand
20,0.889,Stand,Stand
21,0.912,Stand,Stand
22,0.933,Stand,Stand
23,0.956,Stand,Stand
24,0.981,Stand,Stand
25,1.003,Stand,Stand
26,1.028,Stand,Stand
27,1.046,Stand,Stand
28,1.065,Stand,Stand
29,1.112,Stand,Stand
30,1.127,Stand,Stand
31,1.15,Stand,Stand
32,1.172,Stand,Stand
33,1.194,Stand,Stand
34,1.222,Stand,Stand
35,1.238,Stand,Stand
36,1.26,Stand,Stand
37,1.282,Stand,Stand
38,1.304,Stand,Stand
39,1.326,Stand,Stand
40,1.349,Stand,Stand
41,1.371,Stand,Stand
42,1.393,Stand,Stand
43,1.667,Stand,Stand
44,1.692,Stand,Stand
45,1.711,Stand,Stand
46,1.733,Stand,Stand
47,1.755,Stand,Stand
48,1.777,Stand,Stand
49,1.8,Stand,Stand
50,1.822,Stand,Stand
51,1.844,Stand,Stand
52,1.866,Stand,Stand
53,1.888,Stand,Stand
54,1.911,Stand,Stand
55,1.933,Stand,Stand
56,1.955,Stand,Stand
57,1.977,Stand,Stand
58,1.999,Stand,Stand
59,2.021,Stand,Stand
60,2.042,Stand,Stand
61,2.065,Stand,Stand
62,2.09,Stand,Stand
63,2.109,Stand,Stand
64,2.131,Stand,Stand
65,2.153,Stand,Stand
66,2.175,Stand,Stand
67,2.197,Stand,Stand
68,2.219,Stand,Stand
69,2.241,Stand,Stand
70,2.264,Stand,Stand
71,2.285,Stand,Stand
72,2.307,Stand,Stand
73,2.329,Stand,Stand
74,2.352,Stand,Stand
75,2.374,Stand,Stand
76,2.396,Stand,Stand
77,2.421,Stand,Stand
78,2.44,Stand,Stand
79,2.463,Stand,Stand
80,2.484,Stand,Stand
81,2.507,Stand,Stand
82,2.529,Stand,Stand
83,2.551,Stand,Stand
84,2.573,Stand,Stand
85,2.595,Stand,Stand
86,2.617,Stand,Stand
87,2.639,Stand,Stand
88,2.668,Stand,Stand
89,2.687,Stand,Stand
90,2.71,Stand,Stand
91,2.732,Stand,Stand
92,2.754,Stand,Stand
93,2.776,Stand,Stand
94,2.798,Stand,Stand
95,2.821,Stand,Stand
96,2.843,Stand,Stand
97,2.864,Stand,Stand
98,2.888,Stand,Stand
99,2.908,Stand,Stand
100,2.931,Stand,Stand
101,2.953,Stand,Stand
102,2.975,Stand,Stand
103,2.997,Stand,Stand
104,3.02,Stand,Stand
105,3.041,Stand,Stand
106,3.063,Stand,Stand
107,3.085,Stand,Stand
108,3.107,Stand,Stand
109,3.129,Stand,Stand
110,3.151,Stand,Stand
111,3.176,Stand,Stand
112,3.196,Stand,Stand
113,3.218,Stand,Stand
114,3.24,Stand,Stand
115,3.262,Stand,Stand
116,3.284,Stand,Stand
117,3.306,Stand,Stand
118,3.327,Stand,Stand
119,3.35,Stand,Stand
120,3.372,Stand,Stand
121,3.394,Stand,Stand
122,3.416,Stand,Stand
123,3.438,Stand,Stand
124,3.46,Stand,Stand
125,3.485,Stand,Stand
126,3.504,Stand,Stand
127,3.529,Stand,Stand
128,3.549,Stand,Stand
129,3.573,Stand,Stand
130,3.596,Stand,Stand
131,3.616,Stand,Stand
132,3.637,Stand,Stand
133,3.662,Stand,Stand
134,3.684,Stand,Stand
135,3.703,Stand,Stand
136,3.726,Stand,Stand
137,3.748,Stand,Stand
138,3.769,Stand,Stand
139,3.792,Stand,Stand
140,3.816,Stand,Stand
141,3.837,Stand,Stand
142,3.86,Stand,Stand
143,3.881,Stand,Stand
144,3.905,Stand,Stand
145,3.924,Stand,Stand
146,3.946,Stand,Stand
147,3.968,Stand,Stand
148,3.993,Stand,Stand
149,4.013,Stand,Stand
150,4.035,Stand,Stand
151,4.058,Stand,Stand
152,4.079,Stand,Stand
153,4.101,Stand,Stand
154,4.124,Stand,Stand
155,4.145,Stand,Stand
156,4.167,Stand,Stand
157,4.189,Stand,Stand
158,4.211,Stand,Stand
159,4.233,Stand,Stand
160,4.255,Stand,Stand
161,4.278,Stand,Stand
162,4.3,Stand,Stand
163,4.322,Stand,Stand
164,4.346,Stand,Stand
165,4.366,Stand,Stand
166,4.389,Stand,Stand
167,4.412,Stand,Stand
168,4.437,Stand,Stand
169,4.46,Stand,Stand
170,4.481,Stand,Stand
171,4.503,Stand,Stand
172,4.525,Stand,Stand
173,4.548,Stand,Stand
174,4.572,Stand,Stand
175,4.592,Stand,Stand
176,4.613,Stand,Stand
177,4.638,Stand,Stand
178,4.66,Stand,Stand
179,4.681,Stand,Stand
180,4.704,Stand,Stand
181,4.724,Stand,Stand
182,4.748,Stand,Stand
183,4.769,Stand,Stand
184,4.793,Stand,Stand
185,4.813,Stand,Stand
186,4.837,Stand,Stand
187,4.857,Stand,Stand
188,4.881,Stand,Stand
189,4.903,Stand,Stand
190,4.925,Stand,Stand
191,4.945,Stand,Stand
192,4.967,Stand,Stand
193,4.989,Stand,Stand
194,5.012,Stand,Stand
195,5.036,Stand,Stand
196,5.057,Stand,Stand
197,5.078,Stand,Stand
198,5.1,Stand,Stand
199,5.123,Stand,Stand
200,5.144,Stand,Stand
201,5.166,Stand,Stand
202,5.19,Stand,Stand
203,5.21,Stand,Stand
204,5.233,Stand,Stand
205,5.255,Stand,Stand
206,5.279,Stand,Stand
207,5.3,Stand,Stand
208,5.321,Stand,Stand
209,5.345,Stand,Stand
210,5.365,Stand,Stand
211,5.388,Stand,Stand
212,5.41,Stand,Stand
213,5.432,Stand,Stand
214,5.455,Stand,Stand
215,5.475,Stand,Stand
216,5.5,Stand,Stand
217,5.522,Stand,Stand
218,5.543,Stand,Stand
219,5.565,Stand,Stand
220,5.588,Stand,Stand
221,5.608,Stand,Stand
222,5.63,Stand,Stand
223,5.652,Stand,Stand
224,5.676,Stand,Stand
225,5.697,Stand,Stand
226,5.721,Stand,Stand
227,5.741,Stand,Stand
228,5.765,Stand,Stand
229,5.785,Stand,Stand
230,5.807,Stand,Stand
231,5.83,Stand,Stand
232,5.851,Stand,Stand
233,5.874,Stand,Stand
234,5.896,Stand,Stand
235,5.918,Stand,Stand
236,5.94,Stand,Stand
237,5.961,Stand,Stand
238,5.984,Stand,Stand
239,6.008,Stand,Stand
240,6.03,Stand,Stand
241,6.051,Stand,Stand
242,6.072,Stand,Stand
243,6.094,Stand,Stand
244,6.116,Stand,Stand
245,6.139,Stand,Stand
246,6.161,Stand,Stand
247,6.183,Stand,Stand
248,6.205,Stand,Stand
249,6.229,Stand,Stand
250,6.251,Stand,Stand
251,6.271,Stand,Stand
252,6.295,Stand,Stand
253,6.316,Stand,Stand
254,6.337,Stand,Stand
255,6.36,Stand,Stand
256,6.382,Stand,Stand
257,6.406,Stand,Stand
258,6.426,Stand,Stand
259,6.452,Stand,Stand
260,6.47,Stand,Stand
261,6.494,Stand,Stand
262,6.515,Stand,Stand
263,6.537,Stand,Stand
264,6.559,Stand,Stand
265,6.581,Stand,Stand
266,6.603,Stand,Stand
267,6.626,Stand,Stand
268,6.647,Stand,Stand
269,6.671,Stand,Stand
270,6.696,Stand,Stand
271,6.723,Stand,Stand
272,6.746,Stand,Stand
273,6.766,Stand,Stand
274,6.788,Stand,Stand
275,6.813,Stand,Stand
276,6.832,Stand,Stand
277,6.857,Stand,Stand
278,6.877,Stand,Stand
279,6.902,Stand,Stand
280,6.921,Stand,Stand
281,6.943,Stand,Stand
282,6.965,Stand,Stand
283,6.987,Stand,Stand
284,7.009,Stand,Stand
285,7.032,Stand,Stand
286,7.056,Stand,Stand
287,7.076,Stand,Stand
288,7.098,Stand,Stand
289,7.12,Stand,Stand
290,7.142,Stand,Stand
291,7.164,Start to walk,Stand
292,7.186,Start to walk,Stand
293,7.207,Start to walk,Stand
294,7.23,Start to walk,Stand
295,7.253,Start to walk,Stand
296,7.274,Start to walk,Stand
297,7.299,Start to walk,Stand
298,7.322,Start to walk,Stand
299,7.341,Start to walk,Stand
300,7.363,Start to walk,Stand
301,7.387,Start to walk,Stand
302,7.407,Start to walk,Stand
303,7.429,Start to walk,Stand
304,7.452,Start to walk,Stand
305,7.474,Start to walk,Stand
306,7.497,Start to walk,Stand
307,7.52,Start to walk,Stand
308,7.541,Start to walk,Stand
309,7.565,Start to walk,Stand
310,7.584,Start to walk,Stand
311,7.607,Start to walk,Stand
312,7.629,Start to walk,Stand
313,7.652,Start to walk,Stand
314,7.672,Start to walk,Stand
315,7.696,Start to walk,Stand
316,7.72,Start to walk,Stand
317,7.741,Start to walk,Stand
318,7.761,Start to walk,Stand
319,7.786,Start to walk,Stand
320,7.805,Start to walk,Stand
321,7.83,Start to walk,Stand
322,7.852,Start to walk,Stand
323,7.871,Start to walk,Stand
324,7.896,Start to walk,Stand
325,7.916,Start to walk,Stand
326,7.938,Start to walk,Stand
327,7.961,Start to walk,Stand
328,7.982,Start to walk,Stand
329,8.004,Walk,Stand
330,8.026,Walk,Stand
331,8.051,Walk,Stand
